City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Atuona,PF,78.35,clear sky,-9.8,-139.0333,Villa Enata
3,Rikitea,PF,75.81,few clouds,-23.1203,-134.9692,People ThankYou
8,Hobyo,SO,79.16,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
10,Castro,BR,79.61,few clouds,-24.7911,-50.0119,CHACARA BAILLY
14,Sinnamary,GF,78.31,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
30,Bengkulu,ID,75.72,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
40,Hithadhoo,MV,81.19,broken clouds,-0.6,73.0833,Scoop Guest House
43,Hervey Bay,AU,75.04,broken clouds,-25.2986,152.8535,Shelly Bay Resort
48,Padang,ID,77.41,moderate rain,-0.9492,100.3543,Mercure Padang
50,Pancas,BR,75.49,broken clouds,-19.225,-40.8514,Hotel Acácia
55,Saint-Philippe,RE,78.35,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
58,San Patricio,US,86.09,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
70,Faanui,PF,81.21,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
80,Luanda,AO,77.99,light rain,-8.8368,13.2343,Hotel Fórum
89,Souillac,MU,78.37,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
90,Pitimbu,BR,82.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
106,Maceio,BR,83.64,light rain,-9.6658,-35.7353,Poutur Pousada
112,Tual,ID,83.12,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
118,Atar,MR,76.37,clear sky,20.5169,-13.0499,Oumou Elghoura
120,Farafangana,MG,76.89,few clouds,-22.8167,47.8333,Miarina
122,Vao,NC,76.42,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
130,Bambous Virieux,MU,78.22,light rain,-20.3428,57.7575,Casa Tia Villa
133,Grand Gaube,MU,78.39,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
139,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
140,Hambantota,LK,77.88,overcast clouds,6.1241,81.1185,Bungalow 63
143,Sambava,MG,77.94,overcast clouds,-14.2667,50.1667,Melrose
148,Samarai,PG,81.03,overcast clouds,-10.6167,150.6667,Nuli Sapi
150,Acari,PE,79.2,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
155,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
157,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
159,Labuhan,ID,77.43,moderate rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
161,San Carlos,VE,89.33,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
164,Sao Filipe,CV,76.03,overcast clouds,14.8961,-24.4956,Hotel Xaguate
165,Nabire,ID,75.72,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
169,Port Hedland,AU,80.65,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
171,Karwar,IN,75.04,scattered clouds,14.8,74.1333,Netalco Connects
172,Cockburn Town,TC,79.61,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
173,Rio Grande,BR,75.31,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
174,Baracoa,CU,79.36,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
180,Saint-Pierre,RE,78.44,clear sky,-21.3393,55.4781,Lindsey Hôtel
185,Vaini,TO,82.56,light rain,-21.2,-175.2,Keleti Beach Resort
187,Touros,BR,85.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
189,Mumford,GH,81.36,overcast clouds,5.2618,-0.759,Spanish Villa
194,Houma,US,81.0,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
195,Forecariah,GN,79.88,broken clouds,9.4306,-13.0881,"Motel "" La Maison Blanche"""
196,Port Blair,IN,79.12,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
201,Kununurra,AU,82.38,overcast clouds,-15.7667,128.7333,Hotel Kununurra
202,Ratnagiri,IN,75.16,scattered clouds,16.9833,73.3,Hotel Landmark
208,Chimoio,MZ,76.86,few clouds,-19.1164,33.4833,Predio Livraria Ahmed
211,Saint Marys,US,76.05,clear sky,30.7305,-81.5465,Spencer House Inn
214,Akyab,MM,77.0,overcast clouds,20.15,92.9,Hotel Memory
216,Harper,LR,80.06,clear sky,4.375,-7.7169,Screensaver
219,Mahebourg,MU,78.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
224,San Andres,CO,86.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
226,Rawson,AR,81.97,clear sky,-43.3002,-65.1023,Hosteria Sampedro
229,Conceicao Do Araguaia,BR,79.95,heavy intensity rain,-8.2578,-49.2647,Tarumã Tropical Hotel
232,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
233,Ransang,PH,78.03,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
235,Mutoko,ZW,76.68,scattered clouds,-17.397,32.2268,Mutoko Hotel
236,Arraial Do Cabo,BR,76.96,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
237,Juxtlahuaca,MX,86.38,clear sky,17.4294,-99.1467,"Casa de Huespedes ""El centro"""
238,Tabou,CI,80.47,clear sky,4.423,-7.3528,hotêl doufoulougou
240,Cabedelo,BR,83.07,few clouds,-6.9811,-34.8339,Hotel Pigalle
242,El Reten,CO,87.71,overcast clouds,10.6114,-74.2682,Casa Alcalde Reten
247,Riberalta,BO,84.4,broken clouds,-10.9833,-66.1,Hotel Colonial
252,Butaritari,KI,83.16,few clouds,3.0707,172.7902,Isles Sunset Lodge
253,Progreso,MX,86.11,broken clouds,21.2833,-89.6667,Playa Linda Hotel
254,Gorontalo,ID,76.32,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
256,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
258,Madang,PG,75.72,light rain,-5.2246,145.7966,Comfort Inn Hotel
261,Inhambane,MZ,77.7,clear sky,-23.865,35.3833,Oceano
269,Linhares,BR,76.5,few clouds,-19.3911,-40.0722,Hotel Conceição
282,Soyo,AO,78.67,overcast clouds,-6.1349,12.3689,Hotel Mpampa
286,Port-Gentil,GA,80.67,overcast clouds,-0.7193,8.7815,Fengshui Residence
287,Kavieng,PG,82.08,moderate rain,-2.5744,150.7967,Nusa Island Retreat
305,Nocupetaro,MX,88.81,clear sky,19.05,-101.15,"Hotel ""La Casa Embrujada"""
310,Ugoofaaru,MV,82.2,clear sky,5.6667,73.0,Ungoofaaru Inn
311,Nautla,MX,78.31,few clouds,20.2167,-96.7833,Casa Blanca
315,Tagusao,PH,78.55,overcast clouds,9.1924,117.8141,Toledo
318,Mitsamiouli,KM,81.36,broken clouds,-11.3847,43.2844,Foyer ADM
320,Catumbela,AO,76.78,overcast clouds,-12.4314,13.5472,Hotel Do Kamgamba
322,Lorengau,PG,83.59,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
327,Waingapu,ID,80.91,light rain,-9.6567,120.2641,Pondok Wisata Elim
328,Bowen,AU,75.09,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
330,Lodwar,KE,83.37,clear sky,3.1191,35.5973,Solmar Gracious Hotel
331,Karratha,AU,86.0,clear sky,-20.7377,116.8463,ibis Styles Karratha
343,Tautira,PF,86.02,broken clouds,-17.7333,-149.15,Pension Oaoa
346,La Huacana,MX,85.84,clear sky,18.9667,-101.8167,Hotel Yunuen
347,Kalmunai,LK,78.06,clear sky,7.4167,81.8167,VS Villa
350,Umm Lajj,SA,76.64,clear sky,25.0213,37.2685,Moon light Furnished Units
356,Sorong,ID,80.56,broken clouds,-0.8833,131.25,Waigo Splash Hotel
358,Pedasi,PA,85.06,overcast clouds,7.5333,-80.0333,Selina Pedasi
363,Oistins,BB,80.78,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
366,Mayumba,GA,78.06,overcast clouds,-3.432,10.6554,LIKWALE LODGE
370,Etchoropo,MX,87.42,overcast clouds,26.7667,-109.6667,Campo de Andrés cruz jusaino
376,Valparaiso,CL,86.23,clear sky,-33.0393,-71.6273,Hotel Ultramar
377,San Policarpo,PH,77.81,broken clouds,12.1791,125.5072,Agapita M. Nicart
379,Sao Joao Da Barra,BR,78.89,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
382,Bubaque,GW,81.61,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
383,Mandera,KE,85.06,few clouds,3.9366,41.867,Mwalimu Guest mandera
386,Calama,CL,79.29,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
388,Manta,EC,80.38,broken clouds,-0.95,-80.7333,Balandra Hotel
392,Namatanai,PG,80.64,light rain,-3.6667,152.4333,Seagulls Inn Namatani
395,Salinopolis,BR,82.13,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
397,Oussouye,SN,78.98,overcast clouds,12.485,-16.5469,Auberge du Routard
406,Sao Joao,BR,76.77,light rain,-8.8756,-36.3667,Chácara Mãe Natureza
408,Kupang,ID,79.23,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
409,Benguela,AO,77.16,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
413,Veraval,IN,75.7,clear sky,20.9,70.3667,Lords Inn Somnath
414,Bintulu,MY,75.61,scattered clouds,3.1667,113.0333,900 Boutique INN
415,Matias Romero,MX,80.42,scattered clouds,16.8833,-95.0333,Casa Don Gustavo
418,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
419,Sibolga,ID,77.59,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
420,Juruti,BR,84.18,broken clouds,-2.1522,-56.0922,Hotel Acauã - ORLA
421,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
423,Bandarbeyla,SO,77.11,scattered clouds,9.4942,50.8122,JABIR HOTEL
424,Le Port,RE,78.76,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
425,Cairns,AU,78.06,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
426,Imbituba,BR,75.81,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
431,Pontes E Lacerda,BR,84.27,overcast clouds,-15.2261,-59.3353,Hotel Bressan
434,Gizo,SB,81.95,moderate rain,-8.103,156.8419,Imagination Island
452,Itarema,BR,82.99,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
456,Poum,NC,79.86,clear sky,-20.2333,164.0167,Gîte kajeon
463,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
