City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
0,Ushuaia,-54.8,-68.3,56.93,41,82,9.42,broken clouds,AR,2021-12-04 20:11:58
1,Povenets,62.8487,34.8262,6.01,82,12,12.26,few clouds,RU,2021-12-04 20:12:32
2,Atuona,-9.8,-139.0333,78.35,74,4,17.49,clear sky,PF,2021-12-04 20:02:42
3,Rikitea,-23.1203,-134.9692,75.81,73,18,12.08,few clouds,PF,2021-12-04 20:08:48
4,Severo-Kurilsk,50.6789,156.125,31.37,75,76,27.6,broken clouds,RU,2021-12-04 20:08:58
5,Kapaa,22.0752,-159.319,70.12,76,40,3.44,light rain,US,2021-12-04 20:11:19
6,Busselton,-33.65,115.3333,56.08,76,0,10.13,clear sky,AU,2021-12-04 20:09:24
7,Ancud,-41.8697,-73.8203,63.93,59,0,5.44,clear sky,CL,2021-12-04 20:08:40
8,Hobyo,5.3505,48.5268,79.16,73,50,16.33,scattered clouds,SO,2021-12-04 20:09:55
9,Saskylakh,71.9167,114.0833,-20.02,98,100,4.92,overcast clouds,RU,2021-12-04 20:09:16
10,Castro,-24.7911,-50.0119,79.61,43,12,5.1,few clouds,BR,2021-12-04 20:12:33
11,Mopti,14.6667,-4.0,83.82,10,100,10.11,overcast clouds,ML,2021-12-04 20:12:33
12,Mataura,-46.1927,168.8643,54.48,97,100,5.35,light rain,NZ,2021-12-04 20:09:14
13,Pangnirtung,66.1451,-65.7125,13.41,83,100,4.07,overcast clouds,CA,2021-12-04 20:11:00
14,Sinnamary,5.3833,-52.95,78.31,89,84,7.74,broken clouds,GF,2021-12-04 20:09:50
15,Ilulissat,69.2167,-51.1,37.42,60,75,31.07,broken clouds,GL,2021-12-04 20:02:42
16,Raga,8.4596,25.678,81.12,27,35,4.29,scattered clouds,SS,2021-12-04 20:12:34
17,George,-33.963,22.4617,61.14,94,100,19.26,overcast clouds,ZA,2021-12-04 20:12:34
18,Hofn,64.2539,-15.2082,31.44,55,0,9.26,clear sky,IS,2021-12-04 20:11:02
19,San Rafael,-34.6177,-68.3301,68.59,60,75,10.36,broken clouds,AR,2021-12-04 20:10:16
20,Murray Bridge,-35.1167,139.2667,58.48,89,78,3.47,broken clouds,AU,2021-12-04 20:12:34
21,Nome,64.5011,-165.4064,1.47,92,75,0.0,mist,US,2021-12-04 20:08:46
22,Punta Arenas,-53.15,-70.9167,53.71,58,75,26.46,broken clouds,CL,2021-12-04 20:12:20
23,Albany,42.6001,-73.9662,42.8,65,100,6.73,overcast clouds,US,2021-12-04 20:12:35
24,Port Hardy,50.6996,-127.4199,39.76,92,89,5.82,light rain,CA,2021-12-04 20:12:35
25,Hermanus,-34.4187,19.2345,67.89,83,100,19.98,light rain,ZA,2021-12-04 20:08:55
26,Tuktoyaktuk,69.4541,-133.0374,-20.69,88,5,7.0,clear sky,CA,2021-12-04 20:05:08
27,Nyurba,63.2842,118.3319,13.12,84,100,8.7,overcast clouds,RU,2021-12-04 20:12:35
28,Hobart,-42.8794,147.3294,45.05,83,0,1.01,clear sky,AU,2021-12-04 20:12:36
