City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-11-29 23:47:24,-23.1203,-134.9692,76.5,77,0,20.98
1,Clyde River,CA,2021-11-29 23:47:24,70.4692,-68.5914,-0.17,78,90,9.22
2,Naze,JP,2021-11-29 23:47:25,28.3667,129.4833,70.72,73,65,16.46
3,Vaini,TO,2021-11-29 23:47:25,-21.2,-175.2,84.36,70,20,9.22
4,Iqaluit,CA,2021-11-29 23:47:25,63.7506,-68.5145,11.93,79,90,17.27
5,Bethel,US,2021-11-29 23:47:26,41.3712,-73.414,37.49,73,75,1.01
6,Vostok,RU,2021-11-29 23:47:26,46.4856,135.8833,15.01,82,100,1.92
7,Hasaki,JP,2021-11-29 23:47:26,35.7333,140.8333,39.6,62,22,8.66
8,Arraial Do Cabo,BR,2021-11-29 23:47:27,-22.9661,-42.0278,76.96,88,0,12.66
9,Nikolskoye,RU,2021-11-29 23:47:27,59.7035,30.7861,25.39,95,100,10.27
10,New Norfolk,AU,2021-11-29 23:47:27,-42.7826,147.0587,68.92,45,14,1.99
11,Punta Arenas,CL,2021-11-29 23:45:45,-53.15,-70.9167,50.11,50,40,31.07
12,Byron Bay,AU,2021-11-29 23:47:27,-28.65,153.6167,69.91,94,100,7.67
13,San Policarpo,PH,2021-11-29 23:47:28,12.1791,125.5072,82.18,79,100,4.18
14,Ouricuri,BR,2021-11-29 23:47:28,-7.8825,-40.0817,78.89,63,95,3.31
15,Atuona,PF,2021-11-29 23:47:28,-9.8,-139.0333,78.94,76,18,21.94
16,Dikson,RU,2021-11-29 23:47:29,73.5069,80.5464,-13.05,97,100,14.9
17,Floresta,BR,2021-11-29 23:47:29,-8.6011,-38.5686,84.04,51,94,9.69
18,Jasper,US,2021-11-29 23:45:24,37.2001,-94.3502,60.85,44,1,8.05
19,Encruzilhada Do Sul,BR,2021-11-29 23:47:29,-30.5439,-52.5219,65.21,67,44,9.19
20,Bac Lieu,VN,2021-11-29 23:47:30,9.285,105.7244,76.84,92,100,5.14
21,Victoria,HK,2021-11-29 23:47:30,22.2855,114.1577,71.33,70,1,13.0
22,Rio Grande,BR,2021-11-29 23:43:52,-32.035,-52.0986,68.85,73,97,23.69
23,Jamestown,US,2021-11-29 23:44:58,42.097,-79.2353,33.12,86,90,10.36
24,Pangnirtung,CA,2021-11-29 23:47:31,66.1451,-65.7125,19.4,73,90,8.05
25,Marawi,PH,2021-11-29 23:47:31,7.9986,124.2928,68.65,88,79,1.48
26,Avarua,CK,2021-11-29 23:43:04,-21.2078,-159.775,80.65,61,78,14.97
27,Kapaa,US,2021-11-29 23:47:32,22.0752,-159.319,84.18,64,40,4.0
28,Bluff,NZ,2021-11-29 23:47:32,-46.6,168.3333,59.81,73,97,4.27
29,Athens,GR,2021-11-29 23:43:06,37.9795,23.7162,64.17,59,14,8.01
30,Matongo,TZ,2021-11-29 23:47:32,-2.3833,34.0833,64.38,88,89,4.76
31,Koshurnikovo,RU,2021-11-29 23:47:33,54.1667,93.3,7.52,97,100,2.77
32,Kloulklubed,PW,2021-11-29 23:47:33,7.0419,134.2556,84.7,73,100,7.29
33,Longyearbyen,SJ,2021-11-29 23:47:33,78.2186,15.6401,10.24,67,20,13.8
34,Kodiak,US,2021-11-29 23:47:34,57.79,-152.4072,36.91,87,90,19.57
35,Semenivka,UA,2021-11-29 23:47:34,52.1783,32.5818,39.27,88,100,20.65
36,Khatanga,RU,2021-11-29 23:46:01,71.9667,102.5,-31.52,100,97,2.37
37,Kaitangata,NZ,2021-11-29 23:47:35,-46.2817,169.8464,62.92,54,100,8.37
38,Ostrowiec Swietokrzyski,PL,2021-11-29 23:47:35,50.9294,21.3853,36.1,85,97,15.73
39,Albany,US,2021-11-29 23:45:04,42.6001,-73.9662,31.08,67,48,1.99
40,Panjab,AF,2021-11-29 23:47:35,34.388,67.0233,23.58,61,7,1.88
41,Bredasdorp,ZA,2021-11-29 23:47:36,-34.5322,20.0403,59.29,72,43,4.47
42,Broken Hill,AU,2021-11-29 23:43:25,-31.95,141.4333,82.11,34,63,8.05
43,Saint-Philippe,RE,2021-11-29 23:47:36,-21.3585,55.7679,74.75,83,48,7.76
44,Guerrero Negro,MX,2021-11-29 23:47:36,27.9769,-114.0611,72.48,40,0,11.36
45,Merauke,ID,2021-11-29 23:47:37,-8.4667,140.3333,84.49,70,99,4.36
46,Arrah,IN,2021-11-29 23:48:37,25.5667,84.6667,53.49,52,28,4.81
47,Qui Nhon,VN,2021-11-29 23:48:37,13.7667,109.2333,76.1,96,100,17.36
48,Koidu,SL,2021-11-29 23:48:38,8.4167,-10.8333,72.68,93,100,1.25
49,Mataura,NZ,2021-11-29 23:48:38,-46.1927,168.8643,59.49,47,99,5.48
50,Sardarshahr,IN,2021-11-29 23:48:38,28.4333,74.4833,62.44,32,59,5.06
51,Saint-Augustin,CA,2021-11-29 23:48:38,51.226,-58.6502,33.85,75,100,2.68
52,Tasiilaq,GL,2021-11-29 23:48:39,65.6145,-37.6368,23.16,90,100,8.43
53,Qaanaaq,GL,2021-11-29 23:48:39,77.484,-69.3632,12.02,58,100,5.59
54,Fortuna,US,2021-11-29 23:48:39,40.5982,-124.1573,59.41,93,1,1.01
55,Provideniya,RU,2021-11-29 23:48:40,64.3833,-173.3,-1.64,60,0,6.71
56,Lavrentiya,RU,2021-11-29 23:48:40,65.5833,-171.0,-11.42,91,5,8.37
57,Cape Town,ZA,2021-11-29 23:48:40,-33.9258,18.4232,65.08,76,75,8.05
58,Ambilobe,MG,2021-11-29 23:48:41,-13.2,49.05,73.76,84,22,6.08
59,Cascais,PT,2021-11-29 23:48:41,38.6979,-9.4215,56.52,69,84,15.01
60,Busselton,AU,2021-11-29 23:48:41,-33.65,115.3333,60.04,56,61,9.91
61,Georgetown,MY,2021-11-29 23:48:42,5.4112,100.3354,75.15,96,40,1.01
62,Boa Vista,BR,2021-11-29 23:48:42,2.8197,-60.6733,85.98,54,40,5.75
63,Aracruz,BR,2021-11-29 23:48:42,-19.8203,-40.2733,78.01,94,51,1.61
64,Ushuaia,AR,2021-11-29 23:44:17,-54.8,-68.3,46.06,42,40,17.27
65,San Ignacio,BZ,2021-11-29 23:48:43,17.1561,-89.0714,82.54,65,0,4.61
66,Den Helder,NL,2021-11-29 23:48:43,52.9599,4.7593,44.98,75,90,25.01
67,Barahona,DO,2021-11-29 23:48:43,18.2085,-71.1008,78.62,83,20,6.91
68,San Patricio,US,2021-11-29 23:48:44,28.017,-97.5169,69.78,61,65,7.4
69,Port Alfred,ZA,2021-11-29 23:48:44,-33.5906,26.891,68.11,86,81,6.53
70,Olafsvik,IS,2021-11-29 23:48:44,64.8945,-23.7142,31.35,91,100,11.79
71,Padang,ID,2021-11-29 23:48:45,-0.9492,100.3543,75.25,84,72,2.57
