City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,11/29/2021 23:47,-23.1203,-134.9692,76.5,77,0,20.98
2,Naze,JP,11/29/2021 23:47,28.3667,129.4833,70.72,73,65,16.46
3,Vaini,TO,11/29/2021 23:47,-21.2,-175.2,84.36,70,20,9.22
4,Iqaluit,CA,11/29/2021 23:47,63.7506,-68.5145,11.93,79,90,17.27
5,Bethel,US,11/29/2021 23:47,41.3712,-73.414,37.49,73,75,1.01
6,Vostok,RU,11/29/2021 23:47,46.4856,135.8833,15.01,82,100,1.92
7,Hasaki,JP,11/29/2021 23:47,35.7333,140.8333,39.6,62,22,8.66
8,Arraial Do Cabo,BR,11/29/2021 23:47,-22.9661,-42.0278,76.96,88,0,12.66
9,Nikolskoye,RU,11/29/2021 23:47,59.7035,30.7861,25.39,95,100,10.27
10,New Norfolk,AU,11/29/2021 23:47,-42.7826,147.0587,68.92,45,14,1.99
